conditions,brand,year,adress,price,image
Neuf,Lifan,2024,Sicap Liberté                                                                                 Dakar,1350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/995c781c5818eeb8da73e215f5788071/-/horizon-files-prod/ed/picture/qkr88488/5b1dd419440d6730def3b3adef0d2f065462d092.jpg
D,Honda,2022,Grand-Dakar                                                                                 Dakar,1600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/749dc7cd816ce0baf8a2fc52823fc6b0/-/horizon-files-prod/ed/picture/q6xdrr84/3a3aacb1d950b729604a663c8733933d3e0e6e15.jpg
Neuf,Bajaj,2024,Liberte 6                                                                                 Dakar,500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d194ead9cd2d9eef24b2313354928ca/-/horizon-files-prod/ed/picture/q8v4m0w4/2bdd769e04c4f2bea062d0e6060f3cc30ec5343f.jpg
Venant,Yamaha,2012,Saly Portudal                                                                                 Thiès,750000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e3aca326c594bb94ae3fe9f2d4738f8b/-/horizon-files-prod/ed/picture/q6xddx9j/c5284594fe351e868e0d4bc139f4bfc3786df635.jpg
D,Honda,2019,Plateau                                                                                 Dakar,2800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/831dd58e4695e51cbe7e6bee3f68da69/-/horizon-files-prod/ed/picture/qrz8j8nq/779241dd220251ffaa30661fb1bf9cfa157f7af7.jpg
Neuf,Yamaha,2024,Liberte 6 extension                                                                                 Dakar,1400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/27cf3f0fad1fb99483f8ce0ad6300cd1/-/horizon-files-prod/ed/picture/q44n68gp/85a7dddd9169f5577093188d86a46346902a819f.jpg
Neuf,Honda,2017,Parcelles Assainies                                                                                 Dakar,550000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d833844d37fc769a5d4dedeb08be0ed/-/horizon-files-prod/ed/picture/qgqwd952/d90faf1e2c808cea950e844094190f1f339f22f2.jpg
D,Vespa,2022,Plateau                                                                                 Dakar,700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4b0936290ee80b37e3a9f0bcca045ede/-/horizon-files-prod/ed/picture/qq42wjp4/10298f3ff0a3670a1024a64676724fdb18a6f7ca.jpg
Venant,Aprilia,2010,Guediawaye                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b30c10f3a1efeec8736006e4ac15011c/-/horizon-files-prod/ed/picture/qm5gv7wj/90077db6521863cd36464e8dba4574f38d7155d3.jpg
Venant,KTM,2023,Hann maristes                                                                                 Dakar,2300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d419b4fe62f7849f432082222f8e0e58/-/horizon-files-prod/ed/picture/q44nrd9r/d8fc325538e4d91dc00e6e5d0321feffe1b17a2f.png
D,Arctic,Cat,Pikine                                                                                 Dakar,1500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/18dfed0e42ecf2d64f80ad344bf4ed5e/-/horizon-files-prod/ed/picture/qwepn5k4/5ba0cf8d6026cd84deaa4be5584b6bcdb2e0ed1d.jpg
Venant,Yamaha,2024,Fann Hock                                                                                 Dakar,5250000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d60539c34cacae9b31516aa15ff299d6/-/horizon-files-prod/ed/picture/q2j0qp8p/f37918ab925cd527521a6ef6c6891eca6d75316f.jpg
Venant,KTM,2022,Fann Hock                                                                                 Dakar,3280000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b5770f099b37dcbecfcf6dd9b5c21bc1/-/horizon-files-prod/ed/picture/qkr8gjwp/162cf52be3aad5df1c890a28043f64ba7d201316.jpg
Venant,SYM,2023,Fann Hock                                                                                 Dakar,2950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84f89ac29f88689ae5a3af570e497895/-/horizon-files-prod/ed/picture/qzvpdn68/ce216407055142c74750bd2ff3135bbd5f14d5b8.jpg
Venant,Suzuki,2015,Sangalkam                                                                                 Dakar,550000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f5b3782cf2c644d72276c9688bb4f9c3/-/horizon-files-prod/ed/picture/qj4q5278/f1d2226df775ec7e495aacafc59f8a92ab6590a7.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,6000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eefa56cb785196b1561fc75accbdb1b/-/horizon-files-prod/ed/picture/qkr8p77p/50b8c6d166ca0b45c222227a5c94d8db1798878d.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42686f31731f3661a4304a4fa77e172c/-/horizon-files-prod/ed/picture/q2j07kkg/c6f091d9a9e97c01c82720a13b8409300943463b.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,3900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7d9ae63bda81fcdcc983157c0b5cf35/-/horizon-files-prod/ed/picture/qngp02x0/a4f3ee3276a007c2f2057fcd5306c8f966ad8016.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,6900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/db0591b4e83ad3ada891b1c93c91c344/-/horizon-files-prod/ed/picture/q9mjrw95/a3cf80098b952dabe4e8e0b257b7029ffef2e142.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,5500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8321adf9674b58e206d1b4bbf945851/-/horizon-files-prod/ed/picture/q78wx955/ee12bcb72c37073a3e3af6f3a9702ab80834f9e4.jpg
D,Suzuki,2007,Mboro                                                                                 Thiès,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2f2e66f882e5bf2616335b045be7ee0/-/horizon-files-prod/ed/picture/qxjpwk62/f1ca5003693c73d42ffa3d56ee19ca741f93bff0.jpg
Venant,Piaggio,2010,Médina                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/db4526f053adfa4e4896163b34830179/-/horizon-files-prod/ed/picture/q44nrrzm/f1f6dcd9e2a0aa2a17a281bfe08ee7d5aae7b9a8.jpg
Venant,Yamaha,2022,Liberte 6                                                                                 Dakar,4850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5f6ec8e3a4dbbfa88ff34e967c44c425/-/horizon-files-prod/ed/picture/q0gwmmeg/27f37277ae7885c2292abb979d9064b6ccdf068e.jpg
Venant,Piaggio,2008,Guediawaye                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7cdfdbc2b7a5054556cb44490b9b40d3/-/horizon-files-prod/ed/picture/qq42wqdn/f8227364d9ce0b38f39a72b33b1249b6f90ba00a.jpg
Venant,Yamaha,2023,Hann maristes                                                                                 Dakar,3200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/379cb4d358b977d3a8eb74e855a303ed/-/horizon-files-prod/ed/picture/q2j08zqq/faa9f1d5e7ee45cfe1dabd34a44a5d563a9cf19d.jpg
Venant,BMW,2010,Hann maristes                                                                                 Dakar,1900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c6d03ed3646d1c65acd1b55bbd1ccf8/-/horizon-files-prod/ed/picture/qngp7rjr/63338ed5d59da6925cae3150490c089ebf834b8e.jpg
D,Honda,2024,Pikine                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a24d303a1394c20dcf4888d911d5028/-/horizon-files-prod/ed/picture/q0g7nq66/96a8cf2f1e32129a7e739febd04a3fb421dcb005.jpg
Venant,Aprilia,2014,Guediawaye                                                                                 Dakar,850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e176f515bfa36977f6a72f08f595133f/-/horizon-files-prod/ed/picture/qkr8g9vx/7d72eb5090745934c847d0ed4c4ef7840a69f42a.jpg
Venant,BMW,2020,Almadies                                                                                 Dakar,3900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/96b634e0e4961da264c7a3981685b2b7/-/horizon-files-prod/ed/picture/qde70z60/c7226c9dc724eee4859646b72409618142c35a0f.jpg
Venant,SYM,2016,Cité keur gorgui                                                                                 Dakar,500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a83d640d39f04f0eb523406a28ee340f/-/horizon-files-prod/ed/picture/q78wj7rz/d41b571bd927ea5db910b0d6d67751bdef164514.jpg
Venant,Kawasaki,2024,Pikine                                                                                 Dakar,950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4e810e8af348eab4f292faa2a8c87b2/-/horizon-files-prod/ed/picture/qxjpgmp0/b6d8a17f852493e2bb09049876ab3f7b6ce41bd2.jpg
Venant,Suzuki,2024,Pikine                                                                                 Dakar,600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a7d0ee08591c35cbe620f202952525b0/-/horizon-files-prod/ed/picture/qrz8nw89/1585c6cfc139ce993fc5e260e5a0bed8b58f7017.jpg
Venant,Suzuki,2024,Pikine                                                                                 Dakar,650000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f252dc744901e43c3995718e85a7b2f4/-/horizon-files-prod/ed/picture/q44n09nv/2145f109bbb19b9f91642e2d5fdf5db6857781c0.jpg
D,Honda,2019,Mbour                                                                                 Thiès,3200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b173ef8f5af07a57ba0596061bac1884/-/horizon-files-prod/ed/picture/qj4qpxw4/c56dc9829cfeeffc17bd5dada61bdf596d35d165.jpg
Neuf,Yamaha,2024,Plateau                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/edba1b5b6a658d9789427c79ea7236a3/-/horizon-files-prod/ed/picture/qxjpgxkv/e1b7d8acaa2796c7c1b7906826d552765f4903c1.jpg
Neuf,Autre,2024,Ouakam                                                                                 Dakar,350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/818fc995401a1c505baf0e1d797d80ab/-/horizon-files-prod/ed/picture/qgq9zjdr/ba2a13c24dfa81eb512370c62224e6ef26bd490e.jpg
D,Yamaha,2021,Autres                                                                                 Autres,900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a89b5e3a189454ee950ad6e8ec33bb66/-/horizon-files-prod/ed/picture/qwepggd4/1141cf4d41072b41f4080ae1fe7f6d981b6a1854.jpg
Venant,Kymco,2021,Almadies                                                                                 Dakar,1200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9066fe4ec99b74a42fb1913834a621b/-/horizon-files-prod/ed/picture/qgq9r9qn/62fd28beceeb8cb4c3624622c577f7ca49ef9a50.jpg
Venant,Ducati,2023,Hann maristes                                                                                 Dakar,2700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fccbfadc33e7411e95f64f738f81d2ff/-/horizon-files-prod/ed/picture/q8v4z2zj/e42ab29db72ebb5a8a09b4d2192a3fe624e38391.jpg
Venant,Honda,2020,Castor                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42b4eaf350c0b648247d64c0f3d9d56a/-/horizon-files-prod/ed/picture/qpdm0w04/63a09b2809814034c8e4dd2de3e8933151a6cbe2.jpg
Venant,BMW,2023,Dieuppeul                                                                                 Dakar,4900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f3b031ed932f29572b991d06de7c8ed/-/horizon-files-prod/ed/picture/qrz8rdwj/ee4e970bc3cd027e0888354925830dcc62670d25.jpg
Neuf,Yamaha,2023,Plateau                                                                                 Dakar,4500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ec25a07740b29458aace15d545206cfe/-/horizon-files-prod/ed/picture/q78wjn5e/22ae8aee9aba9e1d9b0912467e04bf68126ef39f.jpg
D,Polaris,2015,Saly                                                                                 Thiès,12885000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d37c1da949a5ea589d3a25ad97b95fc/-/horizon-files-prod/ed/picture/q6xdqgk6/7bc38aad1d61fa227ae6a8927a7cb16663cee293.jpg
Venant,Yamaha,2022,Hann maristes                                                                                 Dakar,1700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8fe11aae8c2be686bbc02318bedc3c8/-/horizon-files-prod/ed/picture/q6xdqpzj/e5a6f97336d173e28b1e441ce1ee690a7607a457.jpg
Neuf,Yamaha,2016,Liberte 6 extension                                                                                 Dakar,1200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a87ab69cd7c309926a8d8d025f359836/-/horizon-files-prod/ed/picture/q9mjkdj7/59969f7eb9087aad41ae9fbdf3075ff9d645faac.jpg
D,Piaggio,2019,Ouakam                                                                                 Dakar,850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3170d9534e31fe7f5087b73a0620d955/-/horizon-files-prod/ed/picture/qv4wdqn2/11cee16eedb3622ade79cae7be1337f0b2744687.jpg
Neuf,Lifan,2024,Sicap Liberté                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Neuf,Lifan,2024,Sicap Liberté                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7fb4badb7307de5e5ac6b2f1944d557/-/horizon-files-prod/ed/picture/qrz8rqgn/16ad98419af68281952b6fe7f6ef8064013b3b09.jpg
D,Kymco,2010,Mermoz                                                                                 Dakar,450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d945167fb2e0148b3d812f7a68108e9/-/horizon-files-prod/ed/picture/qj4rnq9w/d662fb37c97e9946c3b3b667efa1d9420f8b3b07.jpg
Neuf,Zhongyu,2024,Ouest foire                                                                                 Dakar,450000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5da278cf54a9eed2f6ebd4aa63133594/-/horizon-files-prod/ed/picture/qxjpp4vn/1813e172771dd19ff6ec3191859d7423edc2c5b6.jpg
Venant,BMW,2021,Fann Hock                                                                                 Dakar,7850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cd96d90574078dbccb001bb3bea0405e/-/horizon-files-prod/ed/picture/q9mj9ejp/704a1dee759289dde83f9610372265796b09a6ac.jpg
Venant,BMW,2021,Ngaparou                                                                                 Thiès,5500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/10977dd60b9b0105973835b95c3c2549/-/horizon-files-prod/ed/picture/qv4we74g/10e67ed328a9548b474423abcad01ceeaff1aff2.jpg
Venant,Yamaha,2022,Fann Hock                                                                                 Dakar,2980000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d884d80b4d912481aeb0e6950fd12d06/-/horizon-files-prod/ed/picture/q9mj9zk0/d874bf23a50f969b594b6cda307fd25aff12cb9d.jpg
Neuf,Autre,2024,Ouakam                                                                                 Dakar,400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/236f8c27dd9c977994415fdd38578870/-/horizon-files-prod/ed/picture/qwe2j5wd/6906b05a31018109c473109e07322d45e46604ed.jpg
Venant,BMW,2018,Cambérène                                                                                 Dakar,3000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/264a64e097cd28e7ccf0f41f54bf0e64/-/horizon-files-prod/ed/picture/qm5gpvrr/7639c61b7ce0e7c119d1d0a24e5fa4a0bce4c3b2.jpg
Venant,Suzuki,2007,Biscuiterie                                                                                 Dakar,1200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ef6d7c579b2e3e05259cedb8b47eb980/-/horizon-files-prod/ed/picture/q2j0jkkk/e79b61d84a7ffd5bf45c140a37ff8f76e1d5cc01.jpg
Venant,Honda,2008,Yoff                                                                                 Dakar,650000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/601fa7994f2eb3894fca4fb33802f198/-/horizon-files-prod/ed/picture/qgq92rer/299dff3eca87597e57099f8cfaf7277810b7a37b.jpg
Neuf,Autre,2024,Ouakam                                                                                 Dakar,1600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/82ddad562771bc84994917cb0ea7016e/-/horizon-files-prod/ed/picture/qpdmd54q/9df0f9c972f7c1cf9a80ac50869009d5bb443acf.jpg
Neuf,Autre,2024,Sicap Liberté                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8fc475eb670e87b7ec3405219dd45d1b/-/horizon-files-prod/ed/picture/q2j0jdw2/c07ce722bba1eee08a66204cb734f99cb0e82318.jpg
Neuf,Autre,2023,Grand-Dakar                                                                                 Dakar,8500 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1376048b54a34b5d46327ed939b5d181/-/horizon-files-prod/ed/picture/qxj64e9q/5e510ec074e015ad34c89937ef0be14ff48482ce.jpg
Venant,Autre,2022,Virage                                                                                 Dakar,350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0edc7463b9c902258f14ed5279317243/-/horizon-files-prod/ed/picture/qgq92p2m/7e63a685f13639245aeab5d0944d0c91d5b2d131.jpg
Neuf,Autre,2023,Mbour                                                                                 Thiès,3500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/12d5e091c8319d7ed5ce32e775555bdc/-/horizon-files-prod/ed/picture/qzvdnnk8/30043caf95901c04592566638efc968f9827ecd7.jpg
Neuf,Lifan,2024,Castor                                                                                 Dakar,1550000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/091c8a8b1611452b4fba7144a8d1b4d4/-/horizon-files-prod/ed/picture/q56x0860/ec5c2d30fadfd2d765529e99648f7238eef82a0d.jpg
Neuf,Zhongyu,2024,Ouakam                                                                                 Dakar,350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a229660c6b0eb3f3cb2cd4417ad488ee/-/horizon-files-prod/ed/picture/qrzvprn4/55bc7952e1aa65ae17884ef32eb484ed13a371a7.jpg
Neuf,Lifan,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7925856756ae2436c608ca464458f241/-/horizon-files-prod/ed/picture/qdek8vv0/adf36d0eac772371fcb569b0043051c1e9f8f82f.jpg
Neuf,Autre,2024,Castor                                                                                 Dakar,2500 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6e5f3717aa24b6b1499837f61f13360/-/horizon-files-prod/ed/picture/qgq9xnnq/bd9d37c70a3dc72e6022f9e75f17a6f86ada48c4.jpg
Neuf,Harley,Davidson,Diamniadio                                                                                 Dakar,4700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b92ee08cd258e1f35ea078c5a84d2180/-/horizon-files-prod/ed/picture/q56xjkw5/728ceb9151d473195b71b11860bd769c13a5c775.jpg
Neuf,Triumph,2022,Diamniadio                                                                                 Dakar,4900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a8e996ffa9e242e53593269e0314f55f/-/horizon-files-prod/ed/picture/qxj2rmrn/d443641261951e87993a4fcedf4899569e513970.jpg
Neuf,TVS,Motor,Castor                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e4d02f21bd12ddf374b31b6ad83fc13/-/horizon-files-prod/ed/picture/qenqejn4/3c0647a81cb1fdd7042dbd0e30400c1288c56a59.jpg
Neuf,Lifan,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62d59417019c30d19bacebab5981d443/-/horizon-files-prod/ed/picture/qngxepeg/6e1f83c24e963cdf4fa6da4becbc846f3f482712.jpg
Neuf,Bajaj,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a58a18d22b79409ddc409482f6bd4748/-/horizon-files-prod/ed/picture/qwe272ng/64f08b5938ec1cd4740407467fe6b5cc5eff11f8.png
Neuf,Lifan,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/13fc73d69cd3d951d38c594c8d02f617/-/horizon-files-prod/ed/picture/qngxex09/6f278f7064b69d65860d72d1c8c4f97b7edd555d.jpg
Neuf,Lifan,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abe1eef98989b09813f418bb81506549/-/horizon-files-prod/ed/picture/qenqkgk5/93a4a27d274c00760d7cbe57685ff5b877cc7bc4.jpg
Neuf,Bajaj,2024,Sicap Liberté                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/794366790215de4ec009edf91e74835b/-/horizon-files-prod/ed/picture/q7854k0z/8fac781488b370aac0087f18f1d1ecba83723225.jpg
Neuf,Autre,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0afa4a0607a65fa969419a706d5cc890/-/horizon-files-prod/ed/picture/qv4ej4vk/c2b87188c62e7411f9d08ea861105cfee970d0c0.jpg
Neuf,Bajaj,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f555e055dbde784cca112f143bf10f3/-/horizon-files-prod/ed/picture/q8v58w26/1c49a7ea56b5cc12e28baa1dbdcabd4c72bd7b2d.jpg
Neuf,Autre,2024,Ouakam                                                                                 Dakar,6 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7abd68c8a91ae83807e0aea3ffcfa23/-/horizon-files-prod/ed/picture/qenq2j2j/8c2fe225bd22c88cb76eae43227893c20d7b78a1.jpg
Neuf,Autre,2024,Fass                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1cdfc087311bd60001363568a99143ad/-/horizon-files-prod/ed/picture/qgq9kv80/cf839bff181c98162ced19a5161cc6f7a2437c5f.jpg
Neuf,Autre,2024,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2e44aac41de4a8889cf22b9964075a45/-/horizon-files-prod/ed/picture/qwe2jqqm/c78d5db344e784b36b074e0c0befb767ec5e5917.jpg
Neuf,Autre,2024,Ouakam                                                                                 Dakar,350000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc369bb15d1b78260b79cb965e03167c/-/horizon-files-prod/ed/picture/qj4r2725/7500b97723f6d5ddc25ee089b38de9913ef308c7.jpg
Neuf,Autre,2023,Ouakam                                                                                 Dakar,520000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/daa15c5b8c351490754c45da20134af3/-/horizon-files-prod/ed/picture/qxj2xnrq/96cba9081562076a8ee66bbcc0716b2c68200f61.jpg
Neuf,Suzuki,2023,Colobane                                                                                 Dakar,600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/681619d26088a4f83b96ad885e11b5cf/-/horizon-files-prod/ed/picture/qkrg85nv/dba3217cd07235497b050e6bb3a03264b8452eb3.jpg
Neuf,Autre,2023,Castor                                                                                 Dakar,31000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebc03d71c0c35e26e221dce5906812db/-/horizon-files-prod/ed/picture/qv4egxq2/a894b99ea185728e1991c3748d68b679b90d60d7.jpg
Neuf,Autre,2023,Castor                                                                                 Dakar,1 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4aa6d36b7a32527786d6b21a03cf7107/-/horizon-files-prod/ed/picture/qgq9p4gr/a06023fe252b612e1e48fca15844c002ce4e7adc.jpg
Neuf,Autre,2023,Castor                                                                                 Dakar,12000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0375d0a37485a046d5c225a521d09d42/-/horizon-files-prod/ed/picture/qv4e9wjm/5d07887532f9a1f3da867e00175473df4d0b5af3.jpg
Neuf,Autre,2023,Grand-Dakar                                                                                 Dakar,305000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01ad4529f59adfb9cd59583819046ee7/-/horizon-files-prod/ed/picture/qv4ewnjj/ff6f0abf610cc7afeda7c80d200fc47a2e800620.png
